Tabella Differenza
idDifferenza;X;Y;Raggio;DomandaImmagineId;
1;2175;235;25;1;
2;1480;810;30;1;
3;1360;210;25;1;
4;555;1330;50;1;
5;2050;2100;50;1;
6;1900;1200;50;2;
7;1525;950;25;2;
8;1850;460;50;2;
9;1215;700;20;2;
10;2182;810;70;3;
11;1860;1012;25;3;
12;1275;340;25;3;
13;940;950;25;3;
14;840;350;60;3;
15;2200;430;50;4;
16;2100;780;50;4;
17;170;1210;55;4;
18;1565;515;60;4;
19;1050:280;50;4;
20;980;790;25;4;
21;400;420;50;4;
22;1780;1240;50;4;
23;2080;160;25;5;
24;2150;1252;30;5;
25;2090;580;55;5;
26;1075;1130;40;5;
27;960;230;50;5;
28;710;645;25;5;
29;650;280;25;5;

Tabella DomandaImmagine
DomandaImmagineID;PercorsoOriginale;PercorsoModificata;Width;Height;
1;/immagini/Alieni.png;/immagini/Alieni2.png;2480;1551;
2;/immagini/Aeroplano.png;/immagini/Aeroplano2.png;2480;1546;
3;/immagini/Calcio.png;/immagini/Calcio2.png;2480;1552;
4;/immagini/Foresta.png;/immagini/Foresta2.png;2480;1555;
5;/immagini/Orso.png;/immagini/Orso2.png;2480;1530;
